destination_city,flight_count,total_emissions_kt
Altenrhein,102,136.12739570677152
Anglet,120,272.34969818309287
Antwerpen,117,252.12013553882534
Athens,214,1429.930602125275
Bakırköy,323,2734.8681073449316
Barcelona,472,1255.696957711236
Belgrade,111,455.05052760058453
Belp,326,361.60663017613393
Budapest,118,491.3326855822069
Carlstadt,111,4153.865918130722
Cherwell,178,552.4366840442467
Ciampino,143,441.9776910958774
Cimo,124,130.04077957796727
Düsseldorf,127,256.62689185553995
Estavayer,101,87.20804558992788
Fingal,128,551.4299098783025
Firenze,309,525.9949387809337
Fischamend,146,483.1178552674968
Frankfurt am Main,109,274.8367239412858
Girona,114,213.13023775954656
Haarlemmermeer,440,1182.205098500065
Hamburg,143,449.36404509343527
Hésingue,134,228.41652655240154
Innsbruck,109,193.49660194789544
Klein-Neusiedl,143,456.09793271072914
Kněževes,322,1130.1825701674372
Lausanne,438,98.00952131292323
Le Blanc-Mesnil,1952,3508.891751188431
Le Grand-Saconnex,262,156.31972758895654
Lisboa,141,935.3842834858189
London,1906,5579.921456334671
Luton,183,717.763064837222
Madrid,287,1198.1727489345285
Manchester,130,444.9470919370596
Mandelieu-la-Napoule,928,1252.1904513299557
Milan,1619,2525.592531403885
Muzzano,182,199.0679658299883
Málaga,127,587.6935623555368
Mérignac,240,464.38352648971653
Nice,2994,5363.573993892269
Niederanven,491,657.126259792414
North Hertfordshire,130,610.0186657995225
Oberding,102,208.16337983476572
Olbia,170,495.58109395491044
Palma,123,351.78020628334167
Paris,5176,10227.404355997904
Roma,562,1477.3182998528387
Rotterdam,184,454.2461626371531
Rushmoor,2392,9215.550089792285
Saint-Louis,181,270.9876351167836
Saint-Priest,253,201.6338691252319
Saint-Tropez,703,594.6608736592741
Salzburg,142,273.04935017445456
Schönefeld,272,869.8709992298252
Sierre,251,274.4232603553306
Steenokkerzeel,507,1027.9162957039416
Stockholm,126,760.9898144157928
Uttlesford,304,1300.9359611319514
Venezia,558,1183.2365820347816
Vétraz-Monthoux,242,47.759307385116294
Zurich,2512,4008.582252487945
