,APT_NAME,YEAR,co2(kt),STATE_NAME,FLT_TOT_1,Latitude,Longitude
0,Amsterdam,2019,769.2,Netherlands,509185.0,52.3086,4.7639
1,Amsterdam,2020,374.85,Netherlands,235790.0,52.3086,4.7639
2,Amsterdam,2021,453.01,Netherlands,279874.0,52.3086,4.7639
3,Amsterdam,2022,637.09,Netherlands,415813.0,52.3086,4.7639
4,Amsterdam,2023,647.82,Netherlands,458183.0,52.3086,4.7639
5,Amsterdam,2024,650.41,Netherlands,293709.0,52.3086,4.7639
6,Antalya,2019,304.58,Turkey,203062.0,36.8987,30.8003
7,Antalya,2020,87.74,Turkey,63839.0,36.8987,30.8003
8,Antalya,2021,182.61,Turkey,133038.0,36.8987,30.8003
9,Antalya,2022,238.08,Turkey,190775.0,36.8987,30.8003
10,Antalya,2023,294.03,Turkey,218995.0,36.8987,30.8003
11,Antalya,2024,296.68,Turkey,167703.0,36.8987,30.8003
12,Athens,2019,235.09,Greece,220639.0,37.9364,23.9474
13,Athens,2020,95.67,Greece,109145.0,37.9364,23.9474
14,Athens,2021,141.08,Greece,153061.0,37.9364,23.9474
15,Athens,2022,202.51,Greece,207507.0,37.9364,23.9474
16,Athens,2023,220.88,Greece,236540.0,37.9364,23.9474
17,Athens,2024,222.65,Greece,173708.0,37.9364,23.9474
18,Barcelona,2019,467.11,Spain,344508.0,41.2974,2.0785
19,Barcelona,2020,149.98,Spain,122585.0,41.2974,2.0785
20,Barcelona,2021,189.88,Spain,163694.0,41.2974,2.0785
21,Barcelona,2022,347.94,Spain,283444.0,41.2974,2.0785
22,Barcelona,2023,422.46,Spain,318977.0,41.2974,2.0785
23,Barcelona,2024,437.24,Spain,212363.0,41.2974,2.0785
24,Belgrade,2019,59.95,Serbia,70978.0,44.8184,20.3091
25,Belgrade,2020,25.89,Serbia,34129.0,44.8184,20.3091
26,Belgrade,2021,39.38,Serbia,49367.0,44.8184,20.3091
27,Belgrade,2022,53.72,Serbia,66121.0,44.8184,20.3091
28,Belgrade,2023,71.78,Serbia,83756.0,44.8184,20.3091
29,Belgrade,2024,72.78,Serbia,54875.0,44.8184,20.3091
30,Berlin Brandenburg,2019,91.13,Germany,90231.0,52.3667,13.5033
31,Berlin Brandenburg,2020,39.85,Germany,43167.0,52.3667,13.5033
32,Berlin Brandenburg,2021,104.0,Germany,103914.0,52.3667,13.5033
33,Berlin Brandenburg,2022,169.77,Germany,162002.0,52.3667,13.5033
34,Berlin Brandenburg,2023,202.89,Germany,174361.0,52.3667,13.5033
35,Berlin Brandenburg,2024,204.1,Germany,116670.0,52.3667,13.5033
36,Bratislava,2019,20.48,Slovakia,22593.0,48.1702,17.2127
37,Bratislava,2020,7.13,Slovakia,9053.0,48.1702,17.2127
38,Bratislava,2021,7.97,Slovakia,10980.0,48.1702,17.2127
39,Bratislava,2022,13.58,Slovakia,17186.0,48.1702,17.2127
40,Bratislava,2023,18.33,Slovakia,19382.0,48.1702,17.2127
41,Bratislava,2024,18.59,Slovakia,14552.0,48.1702,17.2127
42,Brussels,2019,281.16,Belgium,229281.0,50.9014,4.4844
43,Brussels,2020,127.78,Belgium,91342.0,50.9014,4.4844
44,Brussels,2021,169.01,Belgium,114144.0,50.9014,4.4844
45,Brussels,2022,232.23,Belgium,174224.0,50.9014,4.4844
46,Brussels,2023,247.88,Belgium,187554.0,50.9014,4.4844
47,Brussels,2024,249.62,Belgium,119460.0,50.9014,4.4844
48,Bucharest Otopeni,2019,136.95,Romania,122831.0,44.5711,26.085
49,Bucharest Otopeni,2020,55.11,Romania,51751.0,44.5711,26.085
50,Bucharest Otopeni,2021,68.1,Romania,71712.0,44.5711,26.085
