,YEAR,APT_NAME,flights_count,co2_total,co2(kt),STATE_NAME,FLT_TOT_1,Latitude,Longitude,private_co2_emission(kt)
0,2019,Geneva,1383,7698886.616736882,163.61,Switzerland,179115.0,46.2381,6.109,7.698886616736883
1,2019,Milan Malpensa,485,2150122.7065811465,330.64,Italy,233978.0,45.6306,8.7281,2.1501227065811466
2,2019,London Stansted,220,2147772.0968056647,251.05,United Kingdom,198511.0,51.1481,-0.1903,2.1477720968056646
3,2019,Malta,225,1946289.7436956016,58.83,Malta,58181.0,35.8575,14.4775,1.9462897436956015
4,2019,Warsaw Chopin,402,1826530.8234159176,178.83,Poland,194160.0,52.1657,20.967,1.8265308234159177
5,2019,Berlin Brandenburg,393,1590110.3610150018,91.13,Germany,90231.0,52.3667,13.5033,1.5901103610150018
6,2019,Vienna,222,1426264.9353598163,318.61,Austria,281716.0,48.1103,16.5697,1.4262649353598162
7,2019,Brussels,315,947703.138026299,281.16,Belgium,229281.0,50.9014,4.4844,0.9477031380262989
8,2019,Prague,259,886388.9372930897,156.67,Czech Republic,150434.0,50.1008,14.264,0.8863889372930897
9,2019,Zurich,192,870540.6651412912,330.62,Switzerland,269223.0,47.4647,8.5492,0.8705406651412912
10,2019,Bucharest Otopeni,151,755676.5876293674,136.95,Romania,122831.0,44.5711,26.085,0.7556765876293674
11,2019,Lisbon,80,683812.3113026387,276.18,Portugal,220938.0,38.7742,-9.1342,0.6838123113026388
12,2019,Dublin,150,629790.456135787,320.96,Ireland,238044.0,53.4213,-6.2701,0.629790456135787
13,2019,Bratislava,233,616484.7151972414,20.48,Slovakia,22593.0,48.1702,17.2127,0.6164847151972414
14,2019,Helsinki,64,607075.4070432127,206.48,Finland,194634.0,60.3172,24.9633,0.6070754070432127
15,2019,Dusseldorf,217,604776.5656936865,239.97,Germany,225541.0,51.2803,6.7668,0.6047765656936864
16,2019,Luxembourg,210,498977.8312303493,99.7,Luxembourg,76300.0,49.6233,6.2044,0.49897783123034933
17,2019,London Gatwick,51,485598.0751324102,445.72,United Kingdom,284916.0,51.1481,-0.1903,0.4855980751324102
18,2019,Belgrade,126,469827.04599108,59.95,Serbia,70978.0,44.8184,20.3091,0.46982704599108
19,2019,Frankfurt,150,469401.4457329268,911.87,Germany,513866.0,50.0379,8.5622,0.46940144573292675
20,2019,Zagreb,163,445508.6969811124,31.91,Croatia,44307.0,45.7429,16.0688,0.4455086969811124
21,2019,Stockholm Arlanda,69,394220.6009411528,251.84,Sweden,233007.0,59.6519,17.9186,0.3942206009411528
22,2019,Riga,76,393865.91372413846,63.41,Latvia,86646.0,56.9236,23.9718,0.3938659137241385
23,2019,Copenhagen,59,330052.64731899125,296.73,Denmark,263434.0,55.618,12.6508,0.33005264731899125
24,2019,London Heathrow,28,313597.6811133571,1200.52,United Kingdom,478081.0,51.1481,-0.1903,0.31359768111335706
25,2019,Nice,67,312242.2500143722,129.53,France,145645.0,43.6653,7.215,0.3122422500143722
26,2019,Larnaca,29,277934.36515510274,79.49,Cyprus,60657.0,34.8751,33.6249,0.2779343651551027
